skills,salary
"PostgreSQL,Python,Java,Информационные технологии",з/п не указана
"Java,SQL,Python,JavaScript,C#,Unix,Unix Shell Scripts,Linux,Git,Mercurial",з/п не указана
"Английский — B2 — Средне-продвинутый,Python,Java,Git,QA,JavaScript","от ,3 000, ,EUR, на руки"
"Java,Python,Kafka,kubernetes,Clojure,SCALA,SQL,Работа в команде,C#,Kotlin","от ,270 000, ,руб., на руки"
"Git,Python,Atlassian Jira,SQL,Linux",з/п не указана
"CentOS,ansible,Nginx,Bash,PostgreSQL,Python,Zabbix,Git,SQL,CI,docker,kubernetes","от ,150 000, до ,180 000, ,руб., на руки"
, з/п не указана
"Linux,Python,C++,Qt,Android,QT/QML",з/п не указана
,з/п не указана
"Eclipse,SQL,MS Visual Studio,MySQL,Atlassian Jira,TFS,C#,C++,Python,Java,JavaScript,HTML,XML,.NET Framework,WPF,Windows Forms,Английский язык,Git",з/п не указана
"SQL,ручное тестирование,Автоматизированное тестирование,позитивное и негативное тестирование,API,PHP,Linux,Atlassian Jira,Python,SoapUI,Selenium,JMeter,Postman,Cucumber,Py.test,Behat,Jenkins,Allure,Docker,Test case,Проведение тестирований",з/п не указана
"Python,Java,C++",з/п не указана
,з/п не указана
"Atlassian Jira,Python,UML,Тестирование,back-end,front-end,C#,Kendo UI,Английский язык,Java,E-Commerce,Разработка ПО,Информационные технологии",з/п не указана
"Java,Spring Framework","от ,180 000, ,руб., до вычета налогов"
"Ruby,PostgreSQL,Ruby On Rails,Git,RSpec,PHP,Perl,Python,ASP.NET",з/п не указана
"Python,SQL,IT",з/п не указана
, з/п не указана
"C++,Python",з/п не указана
"PostgreSQL,Ruby,Ruby On Rails,Git",з/п не указана
, з/п не указана
"Java,Java 8,RESTful API,JUnit,Linux",з/п не указана
"Qt,Linux,C++,STL,ООП","от ,150 000, ,руб., на руки"
, з/п не указана
, з/п не указана
"Java SE,MySQL,Git,Spring Framework,Hibernate ORM,PostgreSQL,Linux,ООП,Spring Boot,Apache Ignite,Apache Cassandra,Яндекс ClickHouse,HAproxy,Nginx,RabbitMQ,Scrum,Apache Solr,Elasticsearch,SQL",з/п не указана
, з/п не указана
"PostgreSQL,Python,Linux,SQL,GreenPlum",з/п не указана
"Python,SCALA,SQL,Linux,Atlassian Jira,Java SE,Аналитическое мышление,ETL,Git,Atlassian Confluence",з/п не указана
"Английский — B1 — Средний,SAP,ABAP,SQL,ООП,ERP,C++,С#,Java,Python",з/п не указана
"Python,Linux,SQL,C++",з/п не указана
, з/п не указана
,з/п не указана
,з/п не указана
"Git,Atlassian Jira,Java,SQL,Scrum",з/п не указана
"Golang,Python",з/п не указана
,з/п не указана
"Python,SQL,Django Framework,Node.js,PostgreSQL,MySQL","от ,300 000, ,руб., на руки"
Python,"от ,100 000, ,руб., до вычета налогов"
